NAME_0,run.001_gap.0.01_flip_priority.FALSE_s.000_sum,run.002_gap.0.01_flip_priority.FALSE_s.100_sum,run.003_gap.0.01_flip_priority.FALSE_s.010_sum,run.005_gap.0.01_flip_priority.FALSE_s.001_sum,run.006_gap.0.01_flip_priority.FALSE_s.101_sum,run.007_gap.0.01_flip_priority.FALSE_s.011_sum,run.009_gap.0.01_flip_priority.TRUE_s.000_sum,run.010_gap.0.01_flip_priority.TRUE_s.100_sum,run.011_gap.0.01_flip_priority.TRUE_s.010_sum,run.012_gap.0.01_flip_priority.TRUE_s.110_sum,run.013_gap.0.01_flip_priority.TRUE_s.001_sum,run.014_gap.0.01_flip_priority.TRUE_s.101_sum,run.015_gap.0.01_flip_priority.TRUE_s.011_sum,run.101_gap.0.05_flip_priority.FALSE_s.000_sum,run.102_gap.0.05_flip_priority.FALSE_s.100_sum,run.103_gap.0.05_flip_priority.FALSE_s.010_sum,run.104_gap.0.05_flip_priority.FALSE_s.110_sum,run.105_gap.0.05_flip_priority.FALSE_s.001_sum,run.106_gap.0.05_flip_priority.FALSE_s.101_sum,run.107_gap.0.05_flip_priority.FALSE_s.011_sum,run.108_gap.0.05_flip_priority.FALSE_s.111_sum,run.109_gap.0.05_flip_priority.TRUE_s.000_sum,run.110_gap.0.05_flip_priority.TRUE_s.100_sum,run.111_gap.0.05_flip_priority.TRUE_s.010_sum,run.112_gap.0.05_flip_priority.TRUE_s.110_sum,run.113_gap.0.05_flip_priority.TRUE_s.001_sum,run.114_gap.0.05_flip_priority.TRUE_s.101_sum,run.115_gap.0.05_flip_priority.TRUE_s.011_sum,run.116_gap.0.05_flip_priority.TRUE_s.111_sum,run.201_gap.0.03_flip_priority.FALSE_s.000_sum,run.202_gap.0.03_flip_priority.FALSE_s.100_sum,run.203_gap.0.03_flip_priority.FALSE_s.010_sum,run.204_gap.0.03_flip_priority.FALSE_s.110_sum,run.205_gap.0.03_flip_priority.FALSE_s.001_sum,run.206_gap.0.03_flip_priority.FALSE_s.101_sum,run.207_gap.0.03_flip_priority.FALSE_s.011_sum,run.209_gap.0.03_flip_priority.TRUE_s.000_sum,run.210_gap.0.03_flip_priority.TRUE_s.100_sum,run.211_gap.0.03_flip_priority.TRUE_s.010_sum,run.212_gap.0.03_flip_priority.TRUE_s.110_sum,run.213_gap.0.03_flip_priority.TRUE_s.001_sum,run.214_gap.0.03_flip_priority.TRUE_s.101_sum,run.215_gap.0.03_flip_priority.TRUE_s.011_sum
France,1664,1708,1699,1712,1680,1696,1664,1708,1699,1694,1712,1658,1719,1664,1708,1699,1697,1712,1708,1690,1689,1664,1708,1699,1728,1712,1689,1697,1697,1664,1708,1699,1690,1712,1686,1684,1664,1708,1699,1709,1712,1678,1702
French Guiana,446,470,442,436,461,438,446,470,442,462,436,439,437,446,470,442,442,436,436,437,437,446,470,442,467,436,466,439,439,446,470,442,445,436,437,437,446,470,442,466,436,462,438
Gabon,871,1064,860,1015,1041,940,871,1064,860,1027,1015,1022,970,871,1064,860,851,1015,1017,942,942,871,1064,860,1039,1015,1044,941,941,871,1064,860,942,1015,1014,943,871,1064,860,1043,1015,1043,949
Gambia,23,10,22,40,14,22,23,10,22,21,40,28,27,23,10,22,22,40,39,22,22,23,10,22,18,40,11,22,22,23,10,22,21,40,39,22,23,10,22,18,40,14,22
Georgia,282,290,257,266,267,257,282,290,257,260,266,247,269,282,290,257,259,266,265,260,259,282,290,257,271,266,268,256,256,282,290,257,258,266,243,259,282,290,257,265,266,269,263
Germany,1302,1482,1353,1331,1399,1320,1302,1482,1353,1339,1331,1377,1305,1302,1482,1353,1353,1331,1334,1307,1306,1302,1482,1353,1349,1331,1422,1301,1301,1302,1482,1353,1344,1331,1336,1316,1302,1482,1353,1345,1331,1398,1307
Ghana,753,1236,791,726,986,777,753,1236,791,800,726,843,711,753,1236,791,792,726,726,768,768,753,1236,791,949,726,1054,767,767,753,1236,791,795,726,737,767,753,1236,791,857,726,1003,739
Greece,326,402,485,473,402,472,326,402,485,449,473,413,492,326,402,485,492,473,474,464,465,326,402,485,409,473,400,472,472,326,402,485,480,473,444,469,326,402,485,422,473,403,476
Guatemala,324,312,342,370,320,339,324,312,342,330,370,328,346,324,312,342,341,370,369,342,340,324,312,342,327,370,316,342,342,324,312,342,337,370,342,339,324,312,342,328,370,317,343
Guinea,861,751,1182,1015,831,1137,861,751,1182,905,1015,861,979,861,751,1182,1184,1015,1005,1096,1096,861,751,1182,834,1015,814,1051,1051,861,751,1182,1116,1015,922,1133,861,751,1182,854,1015,830,994
Guinea-Bissau,76,41,105,43,42,56,76,41,105,59,43,41,44,76,41,105,104,43,44,49,49,76,41,105,45,43,40,49,49,76,41,105,64,43,44,51,76,41,105,46,43,41,48
Guyana,412,307,400,460,366,456,412,307,400,316,460,413,463,412,307,400,404,460,461,461,461,412,307,400,310,460,332,462,462,412,307,400,339,460,449,459,412,307,400,311,460,365,460
