NAME_0,run.001_gap.0.01_flip_priority.FALSE_s.000_sum,run.002_gap.0.01_flip_priority.FALSE_s.100_sum,run.003_gap.0.01_flip_priority.FALSE_s.010_sum,run.005_gap.0.01_flip_priority.FALSE_s.001_sum,run.006_gap.0.01_flip_priority.FALSE_s.101_sum,run.007_gap.0.01_flip_priority.FALSE_s.011_sum,run.009_gap.0.01_flip_priority.TRUE_s.000_sum,run.010_gap.0.01_flip_priority.TRUE_s.100_sum,run.011_gap.0.01_flip_priority.TRUE_s.010_sum,run.012_gap.0.01_flip_priority.TRUE_s.110_sum,run.013_gap.0.01_flip_priority.TRUE_s.001_sum,run.014_gap.0.01_flip_priority.TRUE_s.101_sum,run.015_gap.0.01_flip_priority.TRUE_s.011_sum,run.101_gap.0.05_flip_priority.FALSE_s.000_sum,run.102_gap.0.05_flip_priority.FALSE_s.100_sum,run.103_gap.0.05_flip_priority.FALSE_s.010_sum,run.104_gap.0.05_flip_priority.FALSE_s.110_sum,run.105_gap.0.05_flip_priority.FALSE_s.001_sum,run.106_gap.0.05_flip_priority.FALSE_s.101_sum,run.107_gap.0.05_flip_priority.FALSE_s.011_sum,run.108_gap.0.05_flip_priority.FALSE_s.111_sum,run.109_gap.0.05_flip_priority.TRUE_s.000_sum,run.110_gap.0.05_flip_priority.TRUE_s.100_sum,run.111_gap.0.05_flip_priority.TRUE_s.010_sum,run.112_gap.0.05_flip_priority.TRUE_s.110_sum,run.113_gap.0.05_flip_priority.TRUE_s.001_sum,run.114_gap.0.05_flip_priority.TRUE_s.101_sum,run.115_gap.0.05_flip_priority.TRUE_s.011_sum,run.116_gap.0.05_flip_priority.TRUE_s.111_sum
Montenegro,62,52,26,42,54,26,62,52,26,29,42,56,27,62,52,26,26,42,42,27,27,62,52,26,34,42,50,26,26
Morocco,2114,2151,1778,2374,2037,1875,2114,2151,1778,1925,2374,2006,2119,2114,2151,1778,1768,2374,2381,1888,1887,2114,2151,1778,1992,2374,2082,1910,1910
Mozambique,1927,2072,2190,2106,2060,2233,1927,2072,2190,2150,2106,2048,2141,1927,2072,2190,2179,2106,2098,2207,2206,1927,2072,2190,2106,2106,2067,2189,2189
Myanmar,1792,1594,2304,2049,1625,2268,1792,1594,2304,1875,2049,1681,2080,1792,1594,2304,2307,2049,2039,2200,2201,1792,1594,2304,1702,2049,1590,2159,2159
Namibia,3422,3467,3505,3693,3590,3575,3422,3467,3505,3546,3693,3626,3646,3422,3467,3505,3510,3693,3695,3586,3587,3422,3467,3505,3432,3693,3540,3596,3596
Nepal,559,517,647,756,539,653,559,517,647,585,756,591,692,559,517,647,646,756,755,661,660,559,517,647,526,756,518,668,668
Netherlands,82,244,87,74,91,88,82,244,87,95,74,80,80,82,244,87,87,74,74,87,87,82,244,87,123,74,122,88,88
New Caledonia,40,40,40,41,40,40,40,40,40,40,41,40,41,40,40,40,40,41,41,40,40,40,40,40,40,41,40,40,40
New Zealand,880,880,903,893,880,902,880,880,903,903,893,882,896,880,880,903,903,893,893,901,901,880,880,903,896,893,880,898,898
Nicaragua,501,474,494,497,476,497,501,474,494,487,497,485,499,501,474,494,495,497,494,497,496,501,474,494,478,497,470,502,502
Niger,3886,4773,3332,3849,4534,3397,3886,4773,3332,3771,3849,4037,3781,3886,4773,3332,3505,3849,3845,3525,3525,3886,4773,3332,4173,3849,4591,3620,3620
Nigeria,2658,2048,2273,2911,2433,2301,2658,2048,2273,2366,2911,2675,2705,2658,2048,2273,2276,2911,2916,2391,2391,2658,2048,2273,2327,2911,2277,2472,2472
North Korea,333,3,347,530,31,359,333,3,347,253,530,124,457,333,3,347,347,530,528,384,385,333,3,347,90,530,6,399,399
Northern Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,866,1608,1249,1728,1563,1432,866,1608,1249,1316,1728,1582,1639,866,1608,1249,1260,1728,1728,1498,1497,866,1608,1249,1452,1728,1571,1487,1487
Oman,1256,2290,1575,1274,1787,1306,1256,2290,1575,1798,1274,1545,1264,1256,2290,1575,1593,1274,1276,1203,1203,1256,2290,1575,2178,1274,1958,1198,1198
Pakistan,2896,2671,2792,2890,2713,2765,2896,2671,2792,2731,2890,2761,2842,2896,2671,2792,2778,2890,2876,2759,2760,2896,2671,2792,2729,2890,2723,2779,2779
